,,
,"SR ROUTE PLAN",
,,
,,
"Route","Section","CLUSTER"
1,"DS","Boshir Uddin Road"
1,"DS"," Dali Bhari"
1,"DS"," Dolphin Bus Stand"
1,"DS"," Dolphin Goli"
1,"DS"," Kalabagan"
1,"DS"," Kalabagan 2nd Lane"
1,"DS"," Kalabagan Bus Stand"
1,"DS"," Lake Circus"
1,"DS"," Megla Bus Counter"
2,"DS","Alamin Road"
2,"DS"," Central Hospital 5 No. Road"
2,"DS"," Dhanmondi 5 No. Road"
2,"DS"," Dhanmondi 6 No. Road"
2,"DS"," Dhanmondi 7 No. Road"
2,"DS"," Dhanmondi 8 No. Road"
2,"DS"," Kathal Bagan Bazar"
2,"DS"," Kathalbagan Bazar"
2,"DS"," Khaja Hotel"
2,"DS"," Lab Aid Hospital"
2,"DS"," Staff Quarter"
2,"DS"," Vojon Bilash"
3,"A","Bata Signal"
3,"B","Commissioner Goli"
3,"A"," Central Road"
3,"B"," Hatirpool Free School Street"
3,"A"," Coffee House Goli"
3,"B"," Hatirpool Mour"
3,"A"," Elephant Road"
3,"B"," Kalabagan Thana Vuter Goli"
3,"A"," Hatirpul Kancha Bazar"
3,"B"," North Circular Road"
3,"A"," Katabon"
3,"B"," Vuter Goli"
3,"A"," New Elephant Road"
3,"B"," Sonargaon Road Eastern Plaza"
4,"A","Bangla Motors"
4,"B","Alam Hotel"
4,"A"," Commissioner Goli"
4,"B"," Bangla Motors"
4,"A"," Crescent Rose"
4,"B"," Eastern Plaza"
4,"A"," Green Center"
4,"B"," Motalab Plaza"
4,"A"," Nasrullahar Bari"
4,"B"," Poribag Bazar"
4,"A"," poribagh"
4,"B"," Poribag Mosjid"
4,"A"," Pukur Par Mosjid"
4,"B"," Somoy TV"
4,"A"," Purkur Par"
4,"B"," Sonargaon Road  "
4,"A"," Vuter Goli"
5,"A","Bow Bazar"
5,"B","Box Culvert"
5,"A"," Comfort Hospital"
5,"B"," Caffee Noor Hotel"
5,"A"," Gestolever Goli"
5,"B"," Free School Street"
5,"A"," Lake Circus"
5,"B"," Green Road"
5,"A"," Lal Fokir M.R"
5,"A"," New Bow Bazar"
5,"A"," Rasel Square"
5,"A"," Square Hospital"
6,"DS","Basundhara City"
6,"DS"," Basundhara City East Side"
6,"DS"," Basundhara City West Side"
6,"DS"," Garden Road"
6,"DS"," Garden Road"
6,"DS"," Pantho Path"
6,"DS"," Green Road Pantha Path"
6,"DS"," Near Suvastu Tower"
6,"DS"," Pantho Path"
6,"DS"," Pantho Path Main Road"
6,"DS"," Pantho Path Signal"
6,"DS"," Pantho Path"
6,"DS"," Basundhara City"
6,"DS"," Samurai Convensionery"
6,"DS"," Sumurai Convensionery"
6,"DS"," Victoria University"
7,"A","East Raza Bazar"
7,"A"," Sobhanbag"
7,"B"," Sobhanbag"
7,"A"," T&T Field"
7,"B"," Sukrabad Baazar"
7,"B"," New Model College"
7,"B"," Pantho Path Dhali Bari"
7,"B"," Sukrabad Bazar"
7,"B"," Sukrabad Bus Stand"
7,"B"," Sukrabad Dhal"
8,"DS","Dhanmondi 27 Meena Bazar"
8,"DS"," Lalmatia Block-A"
8,"DS"," Lalmatia Block-E"
8,"DS"," Lalmatia Minar Mosjid"
8,"DS"," Lalmatia Wasa"
8,"DS"," Opposite of HSBC Bank"
8,"DS"," Rafa Plaza"
9,"A","Ambagan"
9,"B","Basundhara Back Side"
9,"A"," Amtala Raza Bazar"
9,"B"," Firmgate"
9,"A"," East Raza Bazar"
9,"B"," Garden Road"
9,"A"," Green Road Bonoful"
9,"B"," Green Super Janata Bank"
9,"A"," Green Road IBA Hostel"
9,"B"," Jahanara Garden"
9,"A"," Green Road Pantha Path Signal"
9,"B"," Purnima Restora"
9,"A"," Indira Road Bou Bazar"
9,"B"," Tejturi Bazar"
9,"A"," Indira Road Commissioner Goli"
9,"A"," Indira Road Raza Bazar"
10,"DS","Indira Road"
10,"DS"," Manik Mia Avenue"
10,"DS"," Monipuri Para"
10,"DS"," Sejan Point"
10,"DS"," Tejgaon College"
11,"DS","Khamar Bari Eye Hospital"
11,"DS"," Lion Shopping Complex"
11,"DS"," Monipuri Para Krishi Lab Mosjid"
11,"DS"," Police Box"
12,"DS","66 Firmgate"
12,"DS"," Ananda Hall"
12,"DS"," Purnima Hall"
12,"DS"," UCC Coaching Center"
13,"DS","Alu Bazar"
13,"DS"," Ambar Shah Masjid"
13,"DS"," City Corporation"
13,"DS"," East Tejturi Bazar"
13,"DS"," HRC Bhaban Kawran Bazar"
13,"DS"," Janata Tower Kawran Bazar"
13,"DS"," Prothom Alo Bhaban"
13,"DS"," Soudia Hotel"
14,"A","1 No. DIT Market"
14,"B","2 No. Super Market"
14,"A"," Bhanga Gate"
